,city,population,violent_crime,murder_and_nonnegligent_manslaughter,rape1,robbery,aggravated_assault,property_crime,burglary,larceny_theft,motor_vehicle_theft,arson,county,shape__area,shape__length,globalid
0,Adelanto,34491,276,1,20,42,213,459,136,209,114,14,San Bernardino,202527216.65625,122818.299432443,a112aaa2-6c60-4c6f-83c5-5a03126064e8
1,Agoura Hills,20490,21,0,6,4,11,306,66,223,17,0,Los Angeles,29643180.1953125,29626.9407231508,b9192abb-2d64-4f7b-b9dc-97b8a703521b
2,Alameda,78907,162,0,7,94,61,2579,218,1958,403,29,Alameda,43583052.453125,52137.8769118302,b8a7f28a-a71e-4e96-bd7e-78cf84f27f7d
3,Albany,20083,40,0,8,21,11,685,105,534,46,1,Alameda,7558117.2109375,16774.017561212,f25071bd-a3d2-437a-bdf4-2d25a0aea1f4
4,Alhambra,84837,161,2,11,89,59,1749,259,1303,187,8,Los Angeles,28883376.6367188,25461.4876329188,a74ff6de-81a9-4d98-b4dc-a1f9d9730f4b
5,Aliso Viejo,52247,27,1,3,13,10,433,57,351,25,1,Orange,25901253.5117188,33775.3696308583,32e63b56-98f9-462e-9e0d-86ed32f59a6f
6,Alturas,2471,10,0,2,1,7,30,14,13,3,0,Modoc,13359025.0585938,23764.8127344721,f87fe79e-88fe-44fe-bacf-b16d00e72320
7,American Canyon,20452,53,0,7,7,39,454,59,368,27,3,Napa,25657660.1835938,34793.6440438085,0e0b9daf-6b3d-4783-a074-8607c357f0eb
8,Anaheim,353915,1120,8,141,396,575,8258,1123,5904,1231,44,Orange,196108999.554688,147822.690354671,7b29a09d-80e7-4ecf-a52d-6fa122b3651c
9,Anderson,10545,61,1,5,12,43,363,63,208,92,1,Shasta,32458888.3984375,47510.5481526246,d8e5af81-bf95-43bc-87b0-bdb8fc4aa286
10,Angels Camp,3909,6,0,2,1,3,74,19,45,10,0,Calaveras,14886738.2734375,30295.3811127137,48b86afe-5032-430f-b44b-b2b9a1ce4d71
11,Antioch,112641,648,12,55,238,343,3199,511,2078,610,59,Contra Costa,124941447.402344,74914.6180628466,3425eb3e-ab73-490a-a609-8b129dc2551c
12,Apple Valley,74051,339,4,19,68,248,1105,230,660,215,11,San Bernardino,294405037.746094,105049.496705671,65eac460-b13a-4c7a-9ecd-ab032081b0fc
