,licensed_certified,facid,fac_status_type_code,facname,fac_type_code,fac_fdr,ltc,capacity,address,city,zip,county_code,county_name,district_number,district_name,isfacmain,fac_fac_relationship_type_code,cclho_code,cclho_name,fips_county_code,data_date
0,LICENSED AND CERTIFIED,10000001,OPEN,VINEYARD POST ACUTE,SNF,SKILLED NURSING FACILITY,LTC,99,101 MONROE ST,PETALUMA,94954,590,SONOMA,11,SANTA ROSA,Y,PARENT,49,SONOMA,6097,2024-03-15 00:00:00
1,LICENSED AND CERTIFIED,10000003,OPEN,CREEKSIDE REHABILITATION & BEHAVIORAL HEALTH,SNF,SKILLED NURSING FACILITY,LTC,181,850 SONOMA AVE,SANTA ROSA,95404,590,SONOMA,11,SANTA ROSA,Y,PARENT,49,SONOMA,6097,2024-03-15 00:00:00
2,LICENSED AND CERTIFIED,10000004,OPEN,CRESCENT CITY SKILLED NURSING,SNF,SKILLED NURSING FACILITY,LTC,99,1280 MARSHALL ST,CRESCENT CITY,95531,70,DEL NORTE,11,SANTA ROSA,Y,PARENT,8,DEL NORTE,6015,2024-03-15 00:00:00
3,LICENSED AND CERTIFIED,10000005,OPEN,RIDGEWAY POST ACUTE,SNF,SKILLED NURSING FACILITY,LTC,79,523 HAYES LN,PETALUMA,94952,590,SONOMA,11,SANTA ROSA,Y,PARENT,49,SONOMA,6097,2024-03-15 00:00:00
4,LICENSED AND CERTIFIED,10000024,OPEN,"GRANADA REHAB & WELLNESS CENTER, LP",SNF,SKILLED NURSING FACILITY,LTC,87,2885 HARRIS ST,EUREKA,95503,110,HUMBOLDT,11,SANTA ROSA,Y,PARENT,12,HUMBOLDT,6023,2024-03-15 00:00:00
5,LICENSED AND CERTIFIED,10000026,OPEN,APPLE VALLEY POST-ACUTE REHAB,SNF,SKILLED NURSING FACILITY,LTC,95,1035 GRAVENSTEIN AVE,SEBASTOPOL,95472,590,SONOMA,11,SANTA ROSA,Y,PARENT,49,SONOMA,6097,2024-03-15 00:00:00
6,LICENSED AND CERTIFIED,10000028,OPEN,NORTH BAY POST ACUTE,SNF,SKILLED NURSING FACILITY,LTC,98,300 DOUGLAS ST,PETALUMA,94952,590,SONOMA,11,SANTA ROSA,Y,PARENT,49,SONOMA,6097,2024-03-15 00:00:00
7,LICENSED AND CERTIFIED,10000033,OPEN,SANTA ROSA POST ACUTE,SNF,SKILLED NURSING FACILITY,LTC,99,4650 HOEN AVE,SANTA ROSA,95405,590,SONOMA,11,SANTA ROSA,Y,PARENT,49,SONOMA,6097,2024-03-15 00:00:00
8,LICENSED AND CERTIFIED,10000034,OPEN,SONOMA POST ACUTE,SNF,SKILLED NURSING FACILITY,LTC,83,678 2ND ST W,SONOMA,95476,590,SONOMA,11,SANTA ROSA,Y,PARENT,49,SONOMA,6097,2024-03-15 00:00:00
9,LICENSED AND CERTIFIED,10000037,OPEN,CLOVERDALE HEALTHCARE CENTER,SNF,SKILLED NURSING FACILITY,LTC,72,300 CHERRY CREEK RD,CLOVERDALE,95425,590,SONOMA,11,SANTA ROSA,Y,PARENT,49,SONOMA,6097,2024-03-15 00:00:00
