X,Y,OBJECTID,CDSCode,Status,Charter,Ed_Type,Level_,Grades,Pb_Prv_BIE,School,District,County,Street,City,State,Zip,Lat,Long,Stacked,Stack_cnt,Source,Notes,Locations,CDS_uniq
-13177579.5052881,4016493.46232007,1,19768696023816,Active,No,Traditional,Elementary,3-5,Public,Peter Burnett Elementary,Wiseburn Unified,Los Angeles,5403 West 138th Street,Hawthorne,CA,90250,33.908279,-118.376199,Yes,5,Peter Burnett Elementary, , ,19768696023816
-13177576.0090996,4016477.30991037,2,19768690119016,Active,Yes,Traditional,Elementary-High Combination,3-12,Public,Da Vinci Science,Wiseburn Unified,Los Angeles,13500 Aviation Boulevard,Hawthorne,CA,90250,33.908159,-118.376167,Yes,5,Da Vinci Science, , ,19768690119016
-13177596.4128354,4016510.53693358,3,19768690119636,Active,Yes,Traditional,Elementary-High Combination,K-12,Public,Da Vinci Design,Wiseburn Unified,Los Angeles,12501 Isis Avenue,Hawthorne,CA,90250,33.908407,-118.37635,Yes,5,Da Vinci Design, , ,19768690119636
-13177566.6410473,4016510.7156566,4,19768690128728,Active,Yes,Traditional,Elementary,K-8,Public,Da Vinci Innovation Academy,Wiseburn Unified,Los Angeles,13500 Aviation Boulevard,Hawthorne,CA,90250,33.908408,-118.376083,Yes,5,Da Vinci Innovation Academy, , ,19768690128728
-13177013.5955147,4018418.74043407,5,19768696023808,Active,No,Traditional,Elementary,K-5,Public,Juan De Anza Elementary,Wiseburn Unified,Los Angeles,12110 Hindry Avenue,Hawthorne,CA,90250-3403,33.922632,-118.371115,No,1,Juan De Anza Elementary, , ,19768696023808
-13177587.4446199,4016493.5761032,6,19768696023832,Active,No,Traditional,Intermediate/Middle/Junior High,6-8,Public,Richard Henry Dana Middle,Wiseburn Unified,Los Angeles,5504 West 135th Street,Hawthorne,CA,90250-6462,33.90828,-118.37627,Yes,5,Richard Henry Dana Middle, , ,19768696023832
-13177196.2573528,4016773.05422674,7,19768696023824,Active,No,Traditional,Elementary,K-2,Public,Juan Cabrillo Elementary,Wiseburn Unified,Los Angeles,5309 West 135th Street,Hawthorne,CA,90250-4948,33.910364,-118.372756,No,1,Juan Cabrillo Elementary, , ,19768696023824
-13160581.4179627,4026648.3561144,8,19647330127936,Active,Yes,Traditional,Intermediate/Middle/Junior High,6-8,Public,PREPA TEC,Los Angeles Unified,Los Angeles,2665 Clarendon Avenue,Huntington Park,CA,90255-4138,33.983954,-118.223502,No,1,Los Angeles CO Parcels 2009-2010,parcels + aerial edit,"Multiple campuses, one CDS code",19647330127936Huntington
-13048793.7734156,3933421.64536451,9,37768516037543,Active,No,Traditional,Elementary,K-5,Public,Bonsall Elementary,Bonsall Unified,San Diego,31555 Old River Road,Bonsall,CA,92003-5112,33.286702,-117.219297,No,1,Bonsall Elementary, , ,37768516037543
-13056923.5382774,3930420.69980042,10,37768510110122,Active,No,Traditional,Elementary,K-6,Public,Bonsall West Elementary,Bonsall Unified,San Diego,5050 El Mirlo Drive,Oceanside,CA,92057,33.264164,-117.292328,No,1,Bonsall West Elementary, , ,37768510110122
-13043889.9120549,3934797.79873141,11,37768516108567,Active,No,Traditional,Intermediate/Middle/Junior High,6-8,Public,Norman L. Sullivan Middle,Bonsall Unified,San Diego,7350 West Lilac Road,Bonsall,CA,92003-5112,33.297312,-117.175131,Yes,2,Norman L. Sullivan Middle, , ,37768516108567
-13091273.8660728,4044385.64466939,12,36676456035497,Active,No,Traditional,Intermediate/Middle/Junior High,6-8,Public,Cucamonga Middle,Central Elementary,San Bernardino,7611 Hellman Avenue,Rancho Cucamonga,CA,91730-2204,34.115973,-117.600902,No,1,Cucamonga Middle, , ,36676456035497
-13464461.4548949,4734616.10652802,13,31103140119214,Active,Yes,Traditional,Elementary-High Combination,K-12,Public,CORE Placer Charter,Placer County Office of Education,Placer,1033 South Auburn Street,Colfax,CA,95713,39.090306,-120.953302,No,1,CORE Placer Charter, , ,31103140119214
-13491145.4751302,4757971.13990835,14,29768776027171,Active,No,Traditional,Intermediate/Middle/Junior High,4-8,Public,Pleasant Valley Elementary,Penn Valley Union Elementary,Nevada,14685 Pleasant Valley Road,Penn Valley,CA,95946-9529,39.252956,-121.193009,No,1,Pleasant Valley Elementary, , ,29768776027171
-13489847.09687,4749658.62903747,15,29768776027189,Active,No,Traditional,Elementary,K-8,Public,Ready Springs Elementary,Penn Valley Union Elementary,Nevada,10862 Spenceville Road,Penn Valley,CA,95946-9625,39.195109,-121.181345,Yes,2,Ready Springs Elementary, , ,29768776027189
-13489854.3814644,4749642.63585194,16,29768776111371,Active,Yes,Traditional,Elementary-High Combination,1-12,Public,Vantage Point Charter,Penn Valley Union Elementary,Nevada,10862 Spenceville Road,Penn Valley,CA,95946-9625,39.194997,-121.181411,Yes,2,Vantage Point Charter, , ,29768776111371
-13491859.9415337,4758388.96786183,17,29768776110746,Active,No,Traditional,Elementary,K-3,Public,Williams Ranch Elementary,Penn Valley Union Elementary,Nevada,14804 Pleasant Valley Road,Penn Valley,CA,95946-9722,39.255862,-121.199427,Yes,2,Williams Ranch Elementary,parcel alignment off, ,29768776110746
-13491867.5439918,4758383.7350808,18,29768770119461,Active,No,Traditional,Preschool,P,Public,Penn Valley Union Special Education Preschool,Penn Valley Union Elementary,Nevada,14806 Pleasant Valley Road,Penn Valley,CA,95946,39.255826,-121.199495,Yes,2,Penn Valley Union Special Education Preschool,parcel alignment off, ,29768770119461
-13458285.1150204,4528804.60345838,19,50711750120212,Active,Yes,Traditional,Elementary-High Combination,6-12,Public,Aspire Vanguard College Preparatory Academy,Modesto City High,Stanislaus,5255 First Street,Empire,CA,95319,37.640782,-120.897819,Yes,2,Stanislaus CO Parcels 2009, , ,50711750120212
-13562512.3612554,4642967.50012111,20,48705320122267,Active,Yes,Traditional,Elementary,K-8,Public,Dixon Montessori Charter,Dixon Unified,Solano,355 North Almond Street,Dixon,CA,95620-2702,38.448414,-121.834108,Yes,2,"Solano Co Parcel data 2010; Pilot project shp", , ,48705320122267
-13646285.0179415,4611423.28411615,21,49708470119750,Active,Yes,Traditional,Elementary,1-6,Public,River Montessori Elementary Charter,Old Adobe Union,Sonoma,3880 Cypress Drive,Petaluma,CA,94954,38.226149,-122.586651,No,1,"Sonoma County Parcel Data 2012; internet research", , ,49708470119750
-13639387.7206243,4579281.05291608,22,21102152130037,Active,No,County Community School,High School,7-12,Public,Marin County Community,Marin County Office of Education,Marin,160-B North San Pedro Road,San Rafael,CA,94903,37.99897,-122.524691,No,1,Marin County Parcel data 2010, , ,21102152130037
-13639289.7341699,4579274.1178684,23,21102152130102,Active,Yes,Traditional,High School,10-11,Public,Phoenix Academy,Marin County Office of Education,Marin,160-B North San Pedro Road,San Rafael,CA,94903,37.998921,-122.523811,No,1,Marin County Parcel data 2010, , ,21102152130102
-13642281.7166157,4581404.9991493,24,21102156069504,Active,No,Special Education School,Elementary-High Combination,K-12,Public,Marin County Special Education,Marin County Office of Education,Marin,1111 Las Gallinas Avenue,San Rafael,CA,94913,38.014004,-122.550689,Yes,2,Marin County Parcel data 2010, , ,21102156069504
-13658168.0752503,4567747.81630323,25,21653006024137,Active,No,Traditional,Elementary,K-8,Public,Bolinas-Stinson Elementary,Bolinas-Stinson Union,Marin,125 Olema-Bolinas Road,Bolinas,CA,94924,37.917282,-122.693398,No,1,Marin County Parcel data 2010, , ,21653006024137
-13644912.2550065,4583537.83694739,26,21653186024160,Active,No,Traditional,Elementary,K-5,Public,Dixie Elementary,Dixie Elementary,Marin,1175 Idylberry Drive,San Rafael,CA,94903-1131,38.029098,-122.574319,No,1,Marin County Parcel data 2010, , ,21653186024160
-13641497.4379179,4584701.89168223,27,21653186024194,Active,No,Traditional,Elementary,K-5,Public,Mary E. Silveira Elementary,Dixie Elementary,Marin,375 Blackstone Drive,San Rafael,CA,94903-1401,38.037334,-122.543643,No,1,Marin County Parcel data 2010, , ,21653186024194
-13641993.160365,4583671.26443332,28,21653186024202,Active,No,Traditional,Intermediate/Middle/Junior High,6-8,Public,Miller Creek Middle,Dixie Elementary,Marin,2255 Las Gallinas Avenue,San Rafael,CA,94903-1699,38.030042,-122.548096,No,1,Marin County Parcel data 2010, ,,21653186024202
-13642559.580626,4580327.38809793,29,21653186024244,Active,No,Traditional,Elementary,K-5,Public,Vallecito Elementary,Dixie Elementary,Marin,50 Nova Albion Way,San Rafael,CA,94903-3556,38.006377,-122.553185,No,1,Marin County Parcel data 2010, ,,21653186024244
-13641002.0014339,4572659.26214673,30,21653346024319,Active,No,Traditional,Elementary,K-4,Public,Anthony G. Bacich Elementary,Kentfield Elementary,Marin,699 Sir Francis Drake Boulevard,Kentfield,CA,94904-1639,37.95208,-122.539193,No,1,Marin County Parcel data 2010, ,,21653346024319
-13641915.4248098,4572800.18395444,31,21653346068308,Active,No,Traditional,Intermediate/Middle/Junior High,5-8,Public,Adaline E. Kent Middle,Kentfield Elementary,Marin,800 College Avenue,Kentfield,CA,94904-2549,37.953078,-122.547398,No,1,Marin County Parcel data 2010, ,,21653346068308
-13660634.1885039,4607642.02527671,32,21653426024327,Active,No,Traditional,Elementary,K-6,Public,Laguna Elementary,Laguna Joint Elementary,Marin,2657 Chileno Valley Road,Petaluma,CA,94952-9428,38.19946,-122.715552,No,1,Marin County Parcel data 2010, ,,21653426024327
-13655998.8059554,4581866.04198866,33,21653596024335,Active,No,Traditional,Elementary,K-8,Public,Lagunitas Elementary,Lagunitas Elementary,Marin,One Lagunitas School Road,San Geronimo,CA,94963-0308,38.017267,-122.673911,Yes,2,Marin County Parcel data 2010, ,,21653596024335
-13656012.0016114,4581849.70629412,34,21653596024343,Active,No,Traditional,Elementary,K-6,Public,San Geronimo Valley Elementary,Lagunitas Elementary,Marin,One Lagunitas School Road,San Geronimo,CA,94963-0308,38.017151,-122.67403,Yes,2,Marin County Parcel data 2010, ,,21653596024343
-13640165.5060046,4570851.9779243,35,21653676024350,Active,No,Traditional,Intermediate/Middle/Junior High,5-8,Public,Hall Middle,Larkspur-Corte Madera,Marin,200 Doherty Drive,Larkspur,CA,94939-1532,37.939277,-122.531678,No,1,Marin County Parcel data 2010, ,,21653676024350
-13639341.941347,4569170.68516708,36,21653676024376,Active,No,Traditional,Elementary,K-4,Public,Neil Cummins Elementary,Larkspur-Corte Madera,Marin,58 Mohawk Avenue,Corte Madera,CA,94925-1033,37.927365,-122.52428,No,1,Marin County Parcel data 2010, ,,21653676024376
-13660081.1282664,4600910.16303032,37,21653756024392,Active,No,Traditional,Elementary,K-3,Public,Lincoln Elementary,Lincoln Elementary,Marin,1300 Hicks Valley Road,Petaluma,CA,94952-9407,38.151921,-122.710583,No,1,Marin County Parcel data 2010, ,,21653756024392
-13639275.821799,4566477.79916088,38,21653916024418,Active,No,Traditional,Elementary,K-5,Public,Edna Maguire Elementary,Mill Valley Elementary,Marin,80 Lomita Drive,Mill Valley,CA,94941-1464,37.908281,-122.523686,No,1,Marin County Parcel data 2010, ,,21653916024418
-13642531.8004055,4566173.07705615,39,21653916024442,Active,No,Traditional,Elementary,K-5,Public,Old Mill Elementary,Mill Valley Elementary,Marin,352 Throckmorton Avenue,Mill Valley,CA,94941-2640,37.906121,-122.552935,No,1,Marin County Parcel data 2010, ,,21653916024442
-13640793.7827524,4565771.12307084,40,21653916024459,Active,No,Traditional,Elementary,K-5,Public,Park Elementary,Mill Valley Elementary,Marin,360 East Blithedale Avenue,Mill Valley,CA,94941-2140,37.903272,-122.537322,No,1,Marin County Parcel data 2010, ,,21653916024459
-13637083.8641495,4564832.17932366,41,21653916024467,Active,No,Traditional,Elementary,K-5,Public,Strawberry Point Elementary,Mill Valley Elementary,Marin,117 East Strawberry Drive,Mill Valley,CA,94941,37.896617,-122.503995,No,1,Marin County Parcel data 2010, ,,21653916024467
-13639707.5425631,4561653.73285593,42,21653916024475,Active,No,Traditional,Elementary,K-5,Public,Tamalpais Valley Elementary,Mill Valley Elementary,Marin,350 Bell Lane,Mill Valley,CA,94941-4038,37.874082,-122.527564,No,1,Marin County Parcel data 2010, ,,21653916024475
