,status,charter,ed_type,level_,grades,pb_prv_bie,school,district,county,street,city,state,zip,stacked,stack_cnt,source
0,Active,No,Traditional,Elementary,3-5,Public,Peter Burnett Elementary,Wiseburn Unified,Los Angeles,5403 West 138th Street,Hawthorne,CA,90250,Yes,5,Peter Burnett Elementary
1,Active,Yes,Traditional,Elementary-High Combination,3-12,Public,Da Vinci Science,Wiseburn Unified,Los Angeles,13500 Aviation Boulevard,Hawthorne,CA,90250,Yes,5,Da Vinci Science
2,Active,Yes,Traditional,Elementary-High Combination,K-12,Public,Da Vinci Design,Wiseburn Unified,Los Angeles,12501 Isis Avenue,Hawthorne,CA,90250,Yes,5,Da Vinci Design
3,Active,Yes,Traditional,Elementary,K-8,Public,Da Vinci Innovation Academy,Wiseburn Unified,Los Angeles,13500 Aviation Boulevard,Hawthorne,CA,90250,Yes,5,Da Vinci Innovation Academy
4,Active,No,Traditional,Elementary,K-5,Public,Juan De Anza Elementary,Wiseburn Unified,Los Angeles,12110 Hindry Avenue,Hawthorne,CA,90250-3403,No,1,Juan De Anza Elementary
5,Active,No,Traditional,Intermediate/Middle/Junior High,6-8,Public,Richard Henry Dana Middle,Wiseburn Unified,Los Angeles,5504 West 135th Street,Hawthorne,CA,90250-6462,Yes,5,Richard Henry Dana Middle
6,Active,No,Traditional,Elementary,K-2,Public,Juan Cabrillo Elementary,Wiseburn Unified,Los Angeles,5309 West 135th Street,Hawthorne,CA,90250-4948,No,1,Juan Cabrillo Elementary
7,Active,Yes,Traditional,Intermediate/Middle/Junior High,6-8,Public,PREPA TEC,Los Angeles Unified,Los Angeles,2665 Clarendon Avenue,Huntington Park,CA,90255-4138,No,1,Los Angeles CO Parcels 2009-2010
8,Active,No,Traditional,Elementary,K-5,Public,Bonsall Elementary,Bonsall Unified,San Diego,31555 Old River Road,Bonsall,CA,92003-5112,No,1,Bonsall Elementary
9,Active,No,Traditional,Elementary,K-6,Public,Bonsall West Elementary,Bonsall Unified,San Diego,5050 El Mirlo Drive,Oceanside,CA,92057,No,1,Bonsall West Elementary
10,Active,No,Traditional,Intermediate/Middle/Junior High,6-8,Public,Norman L. Sullivan Middle,Bonsall Unified,San Diego,7350 West Lilac Road,Bonsall,CA,92003-5112,Yes,2,Norman L. Sullivan Middle
11,Active,No,Traditional,Intermediate/Middle/Junior High,6-8,Public,Cucamonga Middle,Central Elementary,San Bernardino,7611 Hellman Avenue,Rancho Cucamonga,CA,91730-2204,No,1,Cucamonga Middle
12,Active,Yes,Traditional,Elementary-High Combination,K-12,Public,CORE Placer Charter,Placer County Office of Education,Placer,1033 South Auburn Street,Colfax,CA,95713,No,1,CORE Placer Charter
13,Active,No,Traditional,Intermediate/Middle/Junior High,4-8,Public,Pleasant Valley Elementary,Penn Valley Union Elementary,Nevada,14685 Pleasant Valley Road,Penn Valley,CA,95946-9529,No,1,Pleasant Valley Elementary
14,Active,No,Traditional,Elementary,K-8,Public,Ready Springs Elementary,Penn Valley Union Elementary,Nevada,10862 Spenceville Road,Penn Valley,CA,95946-9625,Yes,2,Ready Springs Elementary
15,Active,Yes,Traditional,Elementary-High Combination,1-12,Public,Vantage Point Charter,Penn Valley Union Elementary,Nevada,10862 Spenceville Road,Penn Valley,CA,95946-9625,Yes,2,Vantage Point Charter
